título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Coder Dojo · Grupo de trabajo 2024-2025,"Coder Dojo es una iniciativa mundial que anima a los niños, niñas y adolescentes de entre 7 y 17 años a trabajar con herramientas tecnológicas mientras aprenden habilidades como el trabajo en equipo, la comunicación y la acción.Ven a programar videojuegos, a diseñar páginas en Internet, a crear aplicaciones para dispositivos móviles, a dibujar y a imprimir modelos en 3D. También podrás crear música interactiva, construir robots y mucho más.Si además nos quieres ayudar como mentor/a voluntario/a eres bienvenido/a y podrás compartir en el club todos tus conocimientos y experiencias.",Cultura y Espectáculos,Música,7,17,True,,sábado,16:00,18:00,16/11/2024,26/07/2025,Madrid,,,True,False,True
Taller de cómic (Infantil) Biblioteca José Hierro,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,10,14,True,quincenal,lunes,18:00,19:30,25/11/2024,19/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
Clases de árabe para niños,Taller infantil para niños a partir de 9 años.,Cultura y Espectáculos,Talleres,9,18,True,,viernes,18:00,19:30,13/12/2024,30/05/2025,Madrid,Usera,0.0,True,False,True
Taller de cómic (Infantil) Biblioteca María Zambrano,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,8,11,True,quincenal,lunes,17:30,19:00,08/01/2025,04/06/2025,Madrid,Tetuán,0.0,True,True,True
Taller de cómic (Infantil) Biblioteca Miguel Delibes,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,8,11,True,quincenal,miércoles,18:00,19:30,15/01/2025,21/05/2025,Madrid,Moratalaz,0.0,True,True,True
Taller de cómic (juvenil) Biblioteca Gerardo Diego,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,12,17,True,quincenal,viernes,18:00,19:30,07/02/2025,30/05/2025,Madrid,Villa de Vallecas,0.0,True,True,True
Chatines: club de lectura infantil,¿Qué es el Club de Lectura Chatines?,Cultura y Espectáculos,Club de lectura,9,12,True,,jueves,17:30,18:30,27/02/2025,19/06/2025,Madrid,Chamartín,0.0,True,False,True
Taller de ajedrez avanzado (infantil-juvenil) Biblioteca María Lejárraga,"Taller avanzado para el perfeccionamiento de la práctica del ajedrez, deporte de reconocidos beneficios a nivel cognitivo e intelectual que mejora la memoria, la concentración y permite ejercitar ambos hemisferios cerebrales.",Cultura y Espectáculos,Talleres,6,17,True,semanal,miércoles,18:30,19:30,19/03/2025,04/06/2025,Madrid,Hortaleza,0.0,True,True,True
Manualidades,"Taller de manualidades ideado, coordinado y ejecutado por mujeres del barrio.",Cultura y Espectáculos,Talleres,6,12,True,mensual,martes,18:00,19:30,25/03/2025,24/06/2025,Madrid,Usera,0.0,True,False,True
Talleres de Price (De 7 a 9 años),¡Diviértete aprendiendo mientras descubres todo lo que eres capaz de hacer!,Cultura y Espectáculos,Talleres,7,9,,,sábado,10:00,12:00,29/03/2025,14/06/2025,Madrid,,,True,False,True
