título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Taller de teatro infantil,"El Taller de teatro Infantil es una experiencia fascinante diseñada específicamente para niños de 6 a 12 años. Más allá de la simple diversión, este taller ofrece una serie de beneficios significativos para los niños.",Cultura y Espectáculos,Talleres. Teatro Infantil,6,12,True,,sábado,10:30,12:00,,,Madrid,Hortaleza,0.0,True,False,True
Taller de magia infantil,"El Taller de Magia Infantil es una experiencia fascinante diseñada específicamente para niños de 6 a 12 años. Más allá de la simple diversión, este taller ofrece una serie de beneficios significativos para los niños.",Cultura y Espectáculos,Magia. Talleres,6,12,,,sábado,10:30,12:00,,,Madrid,Centro,0.0,True,False,True
Mi mundo,Iberoamericana de teatro en movimiento.,Cultura y Espectáculos,Teatro Infantil,,,,,sábado,17:00,,10/05/2025,10/05/2025,Madrid,,0.0,True,True,False
"Triguiñuelas Folk, presenta “El pañuelo de la abuela”.","Espectáculo musical teatralizado de música folk para niños. En las fiestas del pueblo de la abuela, las musiexploradoras se meten en un lío. Para solucionarlo, tienen que lavar el pañuelo de la abuela con el método tradicional, y al hacerlo éste se pierde río abajo. En su búsqueda se encontrarán con diferentes mujeres del pueblo, que sin cesar en sus oficios y sin parar de cantar, les ayudarán.",Cultura y Espectáculos,Música,4,18,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Vicálvaro,0.0,True,True,False
Salvajes,Director: Claude Barras,No especificada,No especificada,,,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Centro,0.0,True,True,True
Aventuras de piratas,Compañía: Producciones Garrote,Cultura y Espectáculos,Teatro Infantil,3,18,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Centro,0.0,True,True,True
Orcobblu,Edad recomendada: +5 años,No especificada,No especificada,,,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Usera,0.0,True,True,True
Crea tus propios imanes para celebrar el Día Mundial de las aves Migratorias,Horario:﻿ de 10:30 a 12 horas.,No especificada,No especificada,4,18,,,domingo,10:30,,11/05/2025,11/05/2025,Madrid,Usera,0.0,True,True,True
Leo y la música,Los domingos del Pozo.,Cultura y Espectáculos,Música,,,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Puente de Vallecas,0.0,True,True,True
Cuentos con amor por un mundo mejor,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Club de lectura. Magia,3,18,,,lunes,12:00,,11/05/2025,11/05/2025,Madrid,Latina,0.0,True,True,True
El dragón Nabú,,No especificada,No especificada,4,18,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Moncloa-Aravaca,0.0,True,False,True
Teatro Familiar - Texturas,Sin descripción,Cultura y Espectáculos,Teatro Infantil,1,6,,,domingo,18:00,,11/05/2025,11/05/2025,Madrid,Chamberí,0.0,True,True,True
"Espectáculo con magia, malabares y clown: ""Emi Mc-Clown, el payaso más mago y el mago más payaso""",¿Has conocido alguna vez al Payaso más Mago y al Mago más Payaso? ¡Pues Emi Mc-clown lo es!,Cultura y Espectáculos,Circo. Magia,5,5,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Centro,0.0,True,True,False
Talleres Infantiles,Para menores de 6 a 8 años. Máximo 20 plazas.,Cultura y Espectáculos,Talleres,6,8,,,domingo,,,11/05/2025,18/05/2025,Madrid,Centro,0.0,True,True,False
La troupe del circo,Calle abierta infantil.,Cultura y Espectáculos,Circo,,,,,domingo,12:30,,11/05/2025,11/05/2025,Madrid,,0.0,True,True,True
Mestre Fufo,"Un mozo de cuerda, de los que ayudaban a los viajeros con el equipaje en el pasado siglo, va a entregar un baúl dirigido a un tal Mestre Fufo (afamado payaso de la época). Pero éste no está... En su lugar aparece un misterioso pianista que abrirá la puerta a la incertidumbre, al cruce de caminos, a la oportunidad de convertirlo todo en otra cosa.",Cultura y Espectáculos,Circo,3,18,,,domingo,12:30,,11/05/2025,11/05/2025,Madrid,Carabanchel,0.0,True,True,True
Juego de pistas 'Los animales del bosque',"Dinámicas participativas para grupos familiares, que incluyen recorridos por el Parque y talleres creativos.",Aire Libre. Cultura y Espectáculos,Actividades con animales. Parques y jardines. Talleres,4,7,True,,domingo,11:00,,11/05/2025,11/05/2025,Madrid,Retiro,0.0,True,False,True
El dragón Nabú,Animathor.,No especificada,No especificada,3,18,,,domingo,18:00,,11/05/2025,11/05/2025,Madrid,Hortaleza,0.0,True,True,True
Desmontando la zarzuela,Diverlírica.,No especificada,No especificada,3,18,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,Centro,0.0,True,True,False
Las aventuras de las niñas perdidas,Compañía iberoamericana de teatro en movimiento.,Cultura y Espectáculos,Teatro Infantil,,,,,domingo,12:00,,11/05/2025,11/05/2025,Madrid,,0.0,True,True,False
Rutas guiadas por el Parque Forestal de Valdebebas. Mayo 2025,,Aire Libre,Parques y jardines,,,,,domingo,,,11/05/2025,11/05/2025,Madrid,,0.0,True,True,False
Five little goats,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,4,18,,,lunes,18:00,,12/05/2025,12/05/2025,Madrid,Centro,0.0,True,True,True
Llega San Isidro con cuentos y manualidades,"El día 15 de mayo es San Isidro, la festividad de Madrid, y para celebrarlo nos vamos a reunir en la biblioteca para hacer un abanico muy chulo y escuchar algún cuento. Te esperamos.",Cultura y Espectáculos,Club de lectura. Talleres,5,8,True,,martes,18:00,,13/05/2025,13/05/2025,Madrid,San Blas-Canillejas,0.0,True,False,True
'Animalitis',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,4,18,,,martes,17:30,,13/05/2025,13/05/2025,Madrid,Tetuán,0.0,True,True,True
'A la mar salada',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,2,18,,,martes,18:00,,13/05/2025,13/05/2025,Madrid,Hortaleza,0.0,True,True,True
Cine infantil en la Biblioteca María Lejárraga: 'Antz',Ven a la biblioteca a disfrutar del cine.,No especificada,No especificada,,,,,martes,18:00,,13/05/2025,13/05/2025,Madrid,Hortaleza,0.0,True,True,True
"'1. 2, 3, dedos, manos y pies'","Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,martes,17:30,,13/05/2025,13/05/2025,Madrid,Chamartín,0.0,True,True,True
Visita externa,Para adultos. Máximo 20 plazas.,No especificada,No especificada,,,,,martes,11:00,,13/05/2025,13/05/2025,Madrid,Centro,0.0,True,True,False
Do It Yourself: Especial San Isidro,Participa en nuestro taller Do It Yourself donde haremos manualidades con materiales reciclados que te facilitaremos en la biblioteca.,Cultura y Espectáculos,Talleres,5,10,True,,miércoles,18:00,,14/05/2025,14/05/2025,Madrid,San Blas-Canillejas,0.0,True,False,True
'Cuentos en la granja',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Club de lectura. Magia,4,18,True,,miércoles,18:00,,14/05/2025,14/05/2025,Madrid,Latina,0.0,True,True,True
The cook and the king,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,5,18,True,,miércoles,18:00,,14/05/2025,14/05/2025,Madrid,Vicálvaro,0.0,True,True,True
'Viri Virom',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,,,miércoles,17:00,,14/05/2025,14/05/2025,Madrid,Fuencarral-El Pardo,0.0,True,True,True
"'No soy yo, eres tú' de Raquel Galán",Sin descripción,No especificada,No especificada,,,,,miércoles,18:00,,14/05/2025,14/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
Cuando los hombres tengan alas - La Malette. (Francia/Uruguay),"Cuando los hombres tengan alas es un espectáculo de marionetas de 30 minutos, dirigido a todos los públicos. La historia se centra en Mr. Toulemonde, un personaje que encarna el deseo humano universal de volar, inspirado en figuras históricas y míticas como Ícaro y los astronautas modernos. Impulsado por este anhelo, Mr. Toulemonde se embarca en una serie de intentos llenos de ingenio, creatividad y perseverancia.",Cultura y Espectáculos,Títeres y marionetas,5,18,,,jueves,18:00,,15/05/2025,15/05/2025,Madrid,Retiro,0.0,True,False,True
San Isidro en Barajas,"Un año más Madrid se viste de gala para celebrar a su patrón, San Isidro Labrador.",No especificada,No especificada,,,,,jueves,14:00,15:30,15/05/2025,15/05/2025,Madrid,Barajas,0.0,True,False,True
Actividades infantiles de San Isidro,Sin descripción,No especificada,No especificada,,,,,jueves,17:30,,15/05/2025,15/05/2025,Madrid,Chamberí,0.0,True,True,True
"Gymkana (hinchables, talleres infantiles y juegos) en la explanada de la Junta Municipal del Distrito",,Cultura y Espectáculos,Talleres,,,,,jueves,12:00,,15/05/2025,15/05/2025,Madrid,,0.0,True,True,True
"Womagis, el mago de las palabras",Compañía Iberoamericana de Teatro en Movimiento.,Cultura y Espectáculos,Teatro Infantil,,,,,jueves,12:00,,15/05/2025,15/05/2025,Madrid,,0.0,True,True,False
Nos hacemos mayores... o no?,Celebración del Día de la Familia.,No especificada,No especificada,,,,,jueves,11:00,,15/05/2025,15/05/2025,Madrid,,0.0,True,True,False
Actividades Infantiles,Plaza de Chamberí.,No especificada,No especificada,,,,,jueves,17:30,,15/05/2025,15/05/2025,Madrid,Chamberí,0.0,True,True,True
Mi amiga madrileña,A cargo de la compañía Ditirambo.,Cultura y Espectáculos,Teatro Infantil,,,,,viernes,18:00,,16/05/2025,16/05/2025,Madrid,Centro,0.0,True,True,False
El viaje de Cervantes,A cargo de Zarzugiñol (zarzuela para niños).,No especificada,No especificada,4,18,,,viernes,18:00,,16/05/2025,16/05/2025,Madrid,Tetuán,0.0,True,True,False
Conmemoración San Isidro: Concierto Piano de coplas,"Manuel de Segura (voz), Raúl fuentes (piano).",Cultura y Espectáculos,Conciertos. Música,,,,,viernes,18:30,,16/05/2025,16/05/2025,Madrid,Centro,0.0,True,True,False
Dabadabadá,Compañía Carlos Lemos.,Cultura y Espectáculos,Teatro Infantil,3,18,,,viernes,18:30,,16/05/2025,16/05/2025,Madrid,Hortaleza,0.0,True,True,True
La magia existe,Sin descripción,Cultura y Espectáculos,Magia,4,18,,,lunes,18:00,,16/05/2025,16/05/2025,Madrid,Villaverde,0.0,True,True,True
Al abordaje piratas,Compañía: El gallinero de Micaela.,Cultura y Espectáculos,Teatro Infantil,3,8,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,,0.0,True,True,True
Pum pum al cerro voy,Compañía: La Vero Paz.,Cultura y Espectáculos,Teatro Infantil,3,18,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,Usera,0.0,True,True,True
Un regalo muy especial,"Es el cumpleaños de Sara y espera un montón de regalos .... habrá baile, risas ... pero; ¿ realmente le gustarán sus regalos ?.... ¿Necesitamos tantos regalos que salen en la tele? ¿O tenemos a nuestro lado el regalo más especial del mundo? .... Venid a divertiros y a descubrir este regalo tan especial (el amor de su familia y amigos).",No especificada,No especificada,,,,,sábado,19:00,,17/05/2025,17/05/2025,Madrid,,0.0,True,True,True
Partida de rol: Cthulhu en la biblioteca,,No especificada,No especificada,,,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,Centro,0.0,True,True,False
¿Qué hemos hecho en Madrid?,Compañía Nos separa el puente y el río,Cultura y Espectáculos,Teatro Infantil,6,12,,,sábado,18:00,,17/05/2025,17/05/2025,Madrid,,0.0,True,True,True
Menuda magia,,Cultura y Espectáculos,Magia,,,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,Centro,0.0,True,False,True
"INFANTIL. La compañía Arte Fusión Títeres, presenta “En un lugar de la granja”","Tres gallinas muy especiales, Ana la presentadora que ama a los pequeños y le gusta su elección de ser tía y realizar muchas cosas que le apasionan, como leer, escuchar y cuidar. Cocorita y Colorada, dos gallinas que parecen rivales, pero están muy unidas con sus formas, gustos y querer tener muchos hijitos, pero quieren cambiar ciertos aspectos de la granja, sin imposiciones con respeto, sin gritos y criando a sus hijos en la igualdad. Premio a mejor espectáculo en 2017.",Cultura y Espectáculos,Teatro Infantil,4,18,,,sábado,18:00,,17/05/2025,17/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Cerditos,,No especificada,No especificada,,,,,sábado,19:00,,17/05/2025,17/05/2025,Madrid,Centro,0.0,True,False,True
"Pluma, guitarra y papel - Los duendes (Comunidad Valenciana)","'Pluma, papel y tijera' es un espectáculo musical con canciones tradicionales, como 'La pájara pinta', 'Había una vez un barquito chiquitito' o 'Estaba la rana cantando debajo del agua'. Durante la función, un pájaro no dejará de crear una serie de situaciones cómicas interrumpiendo el concierto con un montón de malentendidos. Es un espectáculo que apela a la sencillez y a la comunicación directa con el público a través del humor y la participación espontánea.",Cultura y Espectáculos,Conciertos. Música,,,,,"sábado, domingo",18:00,,17/05/2025,18/05/2025,Madrid,Retiro,0.0,True,False,True
Taller de Chotis,,Cultura y Espectáculos,Talleres,,,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,Usera,0.0,True,True,True
"Babe, el Cerdito valiente",(1995 - Chris Noonan).,No especificada,No especificada,,,,,sábado,12:00,,17/05/2025,17/05/2025,Madrid,Centro,0.0,True,True,False
Zumikids en la Granja,Zumo animaciones.,No especificada,No especificada,,,,,sábado,17:00,,17/05/2025,17/05/2025,Madrid,,0.0,True,True,False
Como perros y gatos,Con Cerilla y Cebolla,No especificada,No especificada,6,18,,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Centro,0.0,True,True,True
La cebra Camila,Cía. Ainhoa Limón,No especificada,No especificada,4,18,,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Centro,0.0,True,True,True
¡Experimentos locos con el Agua!,Horario: de 11:30 a 12:30 horas.,No especificada,No especificada,6,12,,,domingo,11:30,,18/05/2025,18/05/2025,Madrid,Usera,0.0,True,True,True
PequeRitmo,Taller musical para los más peques en familia.,Cultura y Espectáculos,Música. Talleres,0,3,True,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Usera,0.0,True,True,True
La pequeña Yak y el elefante curioso,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,4,18,True,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Usera,0.0,True,True,True
Mi amiga madrileña,Los domingos del Pozo.,No especificada,No especificada,,,,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Puente de Vallecas,0.0,True,True,True
"La sorpresa del oso Andrés, con arte fusión títeres","Ejemplifica el disfrute de ser libre y de sentir la propia identidad, incluso en soledad. La elección de un oso polar de vivir en un bosque y sentir que nuevos amigos y amigas pueden enriquecer su vida.",No especificada,No especificada,4,18,,,domingo,12:30,,18/05/2025,18/05/2025,Madrid,Carabanchel,0.0,True,True,True
Zarzuela ‘Antología de la Zarzuela Madrileña’ en Pista deportiva calle Evangelios 4,,No especificada,No especificada,,,,,domingo,20:00,,18/05/2025,18/05/2025,Madrid,,0.0,True,True,True
Caperucita roja,"Lugar: Conjunto Escultórico. Travesía de Felipe de Diego, 29.",No especificada,No especificada,4,18,,,domingo,12:30,,18/05/2025,18/05/2025,Madrid,,0.0,True,True,True
Storytimes,KIDS & US.,No especificada,No especificada,3,8,,,domingo,18:00,,18/05/2025,18/05/2025,Madrid,Hortaleza,0.0,True,True,False
'Las emociones de Gastón: estoy feliz',"Cuentacuentos-taller de escritura y dibujo a raíz del cuento 'Las emociones de Gastón: estoy feliz', un cuento para comprender y compartir las emociones en familia, en este caso enfocado a la felicidad.",Cultura y Espectáculos,Talleres,4,8,True,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Centro,0.0,True,True,True
El payaso musical,Bang Bang Producciones.,Cultura y Espectáculos,Circo. Música,3,18,,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,Centro,0.0,True,True,True
3º Festival de Artes Escénicas para la primera infancia. Espuma de mar,Compañía Titirisolfa.,Cultura y Espectáculos,Teatro Infantil,5,5,,,domingo,,,18/05/2025,18/05/2025,Madrid,Hortaleza,0.0,True,True,True
Zumikids,Compañía Zumo animaciones.,Cultura y Espectáculos,Teatro Infantil,,,,,domingo,12:00,,18/05/2025,18/05/2025,Madrid,,0.0,True,True,False
Rutas guiadas por el Parque Forestal de Valdebebas. Mayo 2025,,Aire Libre,Parques y jardines,,,,,domingo,,,18/05/2025,18/05/2025,Madrid,,0.0,True,True,False
'Con mis manitas',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,,,lunes,17:30,,19/05/2025,19/05/2025,Madrid,Centro,0.0,True,True,True
Talleres infantiles CC Buenavista,“Talleres infantiles CC. Buenavista”,Cultura y Espectáculos,Talleres,,,,,"lunes, viernes",,,19/05/2025,30/05/2025,Madrid,Salamanca,0.0,True,True,True
'Con mis manitas',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,miércoles,17:30,,21/05/2025,21/05/2025,Madrid,Barajas,0.0,True,True,True
The cook and the king,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,5,18,True,,miércoles,18:00,,21/05/2025,21/05/2025,Madrid,Salamanca,0.0,True,True,True
La tortuga de Darwin. IEM- CSIC,,No especificada,No especificada,,,,,miércoles,18:30,,21/05/2025,21/05/2025,Madrid,Vicálvaro,0.0,True,True,False
'Había una vez una iguana',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,jueves,17:30,,22/05/2025,22/05/2025,Madrid,Tetuán,0.0,True,True,True
A taste of the moon,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,2,18,True,,jueves,17:30,,22/05/2025,22/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Historia de Piratas,A cargo de la compañía Fantasma Teatro.,Cultura y Espectáculos,Teatro Infantil,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
Teatro en familia,Taller de teatro.,Cultura y Espectáculos,Talleres. Teatro Infantil,5,18,,,viernes,17:30,,23/05/2025,23/05/2025,Madrid,Usera,0.0,True,True,True
Acercándonos al circo: taller iniciación al circo,¡Diviértete aprendiendo mientras descubres todo lo que eres capaz de hacer!Probarás las técnicas que hacen del circo el mayor espectáculo del mundo de la mano de la profesora de la compañía La Tortuga Veloz.,Cultura y Espectáculos,Circo. Talleres. Teatro Infantil,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Carabanchel,0.0,True,True,True
The far West,¡Yee-Haw! ¡El Lejano Oeste está aquí!,No especificada,No especificada,3,10,True,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
Las aventuras del circo de los sueños,Compañía: Zumo Animaciones,Cultura y Espectáculos,Circo. Teatro Infantil,4,18,,,viernes,12:00,,23/05/2025,23/05/2025,Madrid,,0.0,True,True,True
Humor a la cara,CON YAGUETE FILETE,No especificada,No especificada,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"Cuentacuentos: ""Buscando tesoros""",A cargo de la payasa Cocolô.,No especificada,No especificada,,,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
Talleres Juvenil-Adultos,Para adultos y mayores de 12 años acompañados. Máximo 20 plazas.,Cultura y Espectáculos,Talleres,12,18,,,viernes,17:30,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
The three little pigs... y el lobo,Compañía Marimba Teatro.,Cultura y Espectáculos,Teatro Infantil,6,18,,,viernes,18:30,,23/05/2025,23/05/2025,Madrid,Hortaleza,0.0,True,True,True
El Fado de Ulisses - Rodopio d´ideias (Portugal),"El Fado de Ulises es un espectáculo teatral que narra la historia de La Odisea de Homero, utilizando como recursos el fado, la música típica de Lisboa, y las marionetas.",Cultura y Espectáculos,Títeres y marionetas,,,,,"sábado, domingo",,,24/05/2025,25/05/2025,Madrid,Retiro,0.0,True,False,True
Taller de traducción para pequeños lingüistas,"En este taller y tomando como referencia el libro ¡Ey, ey, ey, Taxi!, del autor alemán Saša Stanišić y la ilustradora Katja Spitzer, nos convertiremos en pequeños traductores y ayudaremos a las palabras y las ilustraciones a traspasar miles de fronteras. ¿Estás listo para esta aventura?",Cultura y Espectáculos. Educación,Idiomas. Talleres,8,12,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,False,True
Personajes ilustrados,"¿Por qué no podrían ser los participantes en este taller los creadores de la próxima gran estrella del cómic? Los participantes darán vida a nuestro propio personaje. Desde ponerle un nombre e inventar la historia de su vida, hasta el dibujo y diseño de sus características físicas.",Cultura y Espectáculos,Talleres,,,,,sábado,17:00,,24/05/2025,24/05/2025,Madrid,,,True,False,True
DisneMagical,Compañía: La Tomasa Teatro.,Cultura y Espectáculos,Teatro Infantil,3,18,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Usera,0.0,True,True,True
El Oso Yogui,(2010 – Eric Brevig).,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
Kalevala,Entrada libre hasta completar aforo.,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Retiro,0.0,True,False,True
Terracota,Teatro infantil.,Cultura y Espectáculos,Teatro Infantil,3,9,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Retiro,0.0,True,False,True
La brujita pastelera,Sin descripción,No especificada,No especificada,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,True
Las hadas de luz,Asociación Familiaplim,No especificada,No especificada,,,,,sábado,12:30,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,True
'Aserrín-Aserrán',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Usera,0.0,True,True,True
Una de ratones,Compañía: Surcante,Cultura y Espectáculos,Teatro Infantil,4,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,True
Fantástica Leonora,CÍA. LAPOTINGUELE PROD.,No especificada,No especificada,5,5,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"INFANTIL. Indeleble Producciones, presenta “Mi Camita”","Mica llega para irse… Para irse a su camita. Parece sencillo, pero Mica se enreda porque el abrigo va por su cuenta, se complica porque los zapatos le bailan solos, descubre que su pijama está del revés, juega con una pluma al caer y soluciona porque su sábana sabe un montón de secretos. Pí Pi…ja, ja, jaaa…mamá…. ¡¡¡PIJAMA!!!",No especificada,No especificada,4,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"INFANTIL. Tralalart, presenta “Una noche de espías”","Pía y Merche, dos chicas con motivaciones muy distintas, empiezan su turno de limpieza en un edificio Súper Secreto donde, inesperadamente, se adentran en una misión que cambiará sus vidas. Con la ayuda de nuevos amigos y superando obstáculos absurdos, Pía y Merche avanzarán en su búsqueda, listos para resolver el misterio de la fórmula secreta… ¡Y enfrentar las sorpresas que se cruzarán en su camino!",No especificada,No especificada,5,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
La Rata Rita,,No especificada,No especificada,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,False,True
Concierto - A Ambos Lados del Atlántico 2,Sin descripción,Cultura y Espectáculos,Conciertos. Música,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,Chamberí,0.0,True,True,True
Cuentacuentos con pictogramas: Miau miau,A cargo de Israel Hergón.,No especificada,No especificada,4,4,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
El Dragón de los deseos,Sin descripción,No especificada,No especificada,8,18,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Moratalaz,0.0,True,True,True
Jornadas Especiales,Para familias con menores a partir de 6 años.,No especificada,No especificada,6,18,,,sábado,11:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
"Pez al revés, presenta “Ronda al revés”",,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Vicálvaro,0.0,True,True,False
Sim Salabim,Compañía Carlos Adriano.,Cultura y Espectáculos,Teatro Infantil,,,,,sábado,17:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,False
Folklore en Familia: concierto de Vibra-Tó - Chamberí,"Joaquín y Miguel llevan más de 20 años creando instrumentos musicales a partir de objetos cotidianos. Recogedores que suenan por bulerías, regaderas jazzeras, latas que son guitarras y sitares, y panderos de globos, trompetas con mangueras y embudos… Estos dos músicos-pedagogos multiinstrumentistas interpretan composiciones propias y músicas del folclore universal con sus cacharros y lo explican de una forma didáctica y divertida.",Cultura y Espectáculos,Conciertos. Música,,,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Chamberí,0.0,True,False,True
Folklore en Familia: taller de Vibra-Tó - Chamberí,Te gustaría aprender a fabricar tu propio instrumento?,Cultura y Espectáculos,Talleres,0,7,True,,domingo,11:00,,25/05/2025,25/05/2025,Madrid,Chamberí,0.0,True,False,True
Sirocco y el reino de los vientos,Director: Benoit Chieux.,No especificada,No especificada,4,8,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
El enfermo imaginario,Cía. Vidas de Alambre,No especificada,No especificada,6,18,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
Oliverio Satisfecho,Compañía: Oliverio.,Cultura y Espectáculos,Teatro Infantil,,,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
La hora de Rockear,Grupo Cómics,No especificada,No especificada,6,18,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
Descubre las aves del Parque de Pradolongo,Senda ornitológica por el Parque de Pradolongo.,Aire Libre,Parques y jardines,10,18,,,domingo,10:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
Títeres agua,Horario:﻿ de 12 a 13 horas.,No especificada,No especificada,6,9,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
¡NO PUEDE SER! Mago Roncero,Recomendada para todos los públicoS,No especificada,No especificada,,,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
