ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;MODELO;ACCESIBLE
"25752";"Balancín en Área Infantil";"203";"AMPOSTA";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447198.980";"4475120.500";"ETRS89";40.42504262;-3.62244534;"CALLE";"RESINERIA";"18";"28037";"C · CALLE RESINERIA , ASCENDIENTE 1: 203 · AMPOST";"11135378";"2004-01-01 00:00:00.0";"2016508";"AE21";"PERRO";
"25747";"Balancín en Área Infantil";"201";"SIMANCAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447395.440";"4476112.830";"ETRS89";40.43399457;-3.62021162;"CALLE";"SAN ROMUALDO";"50";"28037";"C · CALLE SAN ROMUALDO , ASCENDIENTE 1: 201 · SIM";"31042854";"2005-01-01 00:00:00.0";"2016405";"AE21";"0132 · COCHE";
"25735";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447812.680";"4474764.300";"ETRS89";40.42187247;-3.61518190;"AVENIDA";"GUADALAJARA";"89";"28032";"Av · AVENIDA GUADALAJARA 87 , ASCENDIENTE 1: 204";"11136097";"2004-01-01 00:00:00.0";"2015408";"AE21";"1120 · MOTO";
"25732";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447881.670";"4474844.420";"ETRS89";40.42259857;-3.61437526;"CALLE";"LA ALBERICIA";"28";"28037";"Av · AVENIDA GUADALAJARA 93 , ASCENDIENTE 1: 204";"11136092";"2004-01-01 00:00:00.0";"2015205";"AE21";"0610 · PERROS NO";
"25720";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448473.41";"4476152.16";"ETRS89";40.43441636;-3.60750615;"AVENIDA";"NIZA";"44";"28022";"Pza · PLAZA GRECIA , ASCENDIENTE 1: 205 · LAS ROS";"20183967";"2007-01-01 00:00:00.0";"2014515";"AE21";"1120 · MOTO";
"25703";"Balancín en Área Infantil";"203";"AMPOSTA";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"446853.020";"4475054.800";"ETRS89";40.42442873;-3.62651797;"CALLE";"HERMANOS GARCIA NOBLEJAS";"95";"28037";"Pq · PARQUE AJOFRIN , ASCENDIENTE 1: 203 · AMPOST";"11135506";"2004-01-01 00:00:00.0";"2013704";"AE21";"PERRO";
"25675";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447552.430";"4475165.960";"ETRS89";40.42547451;-3.61828268;"CALLE";"CONSERVEROS";"13";"28037";"C · CALLE CONSERVEROS 19 , ASCENDIENTE 1: 204 · L";"11135749";"2009-01-01 00:00:00.0";"2011305";"AE21";"1126 · PERRO";
"25664";"Balancín en Área Infantil";"206";"REJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"449571.660";"4477580.690";"ETRS89";40.44735277;-3.59467168;"AVENIDA";"SEGUNDA";"4";"28022";"Pza · PLAZA MAYOR DE REJAS , ASCENDIENTE 1: 206 ·";"31004092";"2001-01-01 00:00:00.0";"2010602";"AE21";"0132 · COCHE";
"25659";"Balancín en Área Infantil";"207";"CANILLEJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448395.320";"4477472.770";"ETRS89";40.44630838;-3.60853406;"CALLE";"SAN VALENTIN";"16";"28022";"C · CALLE SAN VALENTIN 14-16 , ASCENDIENTE 1: 207";"11138435";"2006-01-01 00:00:00.0";"2010308";"AE21";"PATO";
"25650";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448188.570";"4474661.030";"ETRS89";40.42096564;-3.61074275;"AVENIDA";"CANILLEJAS A VICALVARO";"167";"28032";"C · CALLE MARSELLA 17 , ASCENDIENTE 1: 205 · LAS";"20099671";"2004-01-01 00:00:00.0";"2009802";"AE21";"0726 · TORTUGA";
"25648";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448144.870";"4475922.460";"ETRS89";40.43232667;-3.61136073;"CALLE";"MARIA SEVILLA DIAGO";"2";"28022";"Av · AVENIDA AJALVIR A VICALVARO 91 , ASCENDIENTE";"20075799";"2008-01-01 00:00:00.0";"2009714";"AE21";"0208 · FARO";
"25645";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448258.300";"4475735.270";"ETRS89";40.43064741;-3.61000825;"CALLE";"CALATORAO";"5";"28022";"C · CALLE AINSA 7 , ASCENDIENTE 1: 205 · LAS ROSA";"20113281";"2007-01-01 00:00:00.0";"2009614";"AE21";"1120 · MOTO";
"25624";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"446916.43";"4474793.57";"ETRS89";40.42207946;-3.62574871;"CALLE";"ARCOS DE JALON";"4";"28037";"C · CALLE POBLADURA DEL VALLE , ASCENDIENTE 1: 20";"31028079";"2006-01-01 00:00:00.0";"2008219";"AE21";"0147 · CONEJO";
