titulo,url,tipo,fechas,lugar
Ludoteca en Centro Cultural José Luis Sampedro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Jose-Luis-Sampedro/?vgnextfmt=default&vgnextoid=88f129ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Cultural José Luis Sampedro (Latina). LATINA
Taller de cómic (juvenil) Biblioteca Iván de Vargas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Ivan-de-Vargas/?vgnextfmt=default&vgnextoid=fb9a63238a0b3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 5 de octubre de 2024
al sábado 7 de junio de 2025",Biblioteca Pública Municipal Iván de Vargas (Centro). CENTRO
Ludoteca en Centro Sociocultural Rosario Acuña,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Rosario-Acuna/?vgnextfmt=default&vgnextoid=109ddfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 5 de octubre de 2024
al sábado 28 de junio de 2025",Centro Sociocultural Rosario de Acuña (Latina). LATINA
Ludotecas en Centro Sociocultural Latina,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centro-Sociocultural-Latina/?vgnextfmt=default&vgnextoid=59c61197cb41f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 5 de octubre de 2024
al sábado 28 de junio de 2025",Sin lugar
Taller de juegos (infantil) Biblioteca Gabriel Gª Márquez,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del jueves 17 de octubre de 2024
al jueves 29 de mayo de 2025",Biblioteca Pública Municipal Gabriel García Márquez (Usera). USERA
Club de lectura (infantil) Biblioteca María Lejárraga,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES","Del jueves 24 de octubre de 2024
al jueves 19 de junio de 2025",Biblioteca Pública Municipal María Lejárraga (Hortaleza). HORTALEZA
Coder Dojo · Grupo de trabajo 2024-2025,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coder-Dojo-Grupo-de-trabajo-2024-2025/?vgnextfmt=default&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 16 de noviembre de 2024
al sábado 26 de julio de 2025",Matadero Medialab. ARGANZUELA
Taller de cómic (Infantil) Biblioteca José Hierro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Jose-Hierro/?vgnextfmt=default&vgnextoid=fcd9ecedfd123910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del lunes 25 de noviembre de 2024
al lunes 19 de mayo de 2025",Biblioteca Pública Municipal José Hierro (San Blas-Canillejas). SAN BLAS-CANILLEJAS
Clases de árabe para niños,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Clases-de-arabe-para-ninos/?vgnextfmt=default&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CURSOS Y TALLERES, 
            
            IDIOMAS","Del viernes 13 de diciembre de 2024
al viernes 30 de mayo de 2025",Biblioteca Pública Municipal San Fermín (Usera). USERA
Taller de cómic (Infantil) Biblioteca María Zambrano,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Maria-Zambrano/?vgnextfmt=default&vgnextoid=5c9ec45e58724910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 8 de enero de 2025
al miércoles 4 de junio de 2025",Biblioteca Pública Municipal María Zambrano (Tetuán). TETUAN
